DATE,CUUSA319SAF,CUUSA319SAH,CUUSA319SAA,CUUSA319SAT,CUUSA319SAR,CUUSA319SAE,CUUSA319SAG
1984-01-01,102.600,103.600,100.100,102.400,.,.,106.300
1984-07-01,103.700,105.700,105.300,103.600,.,.,109.400
1985-01-01,105.600,108.300,109.900,105.100,.,.,111.500
1985-07-01,106.500,111.500,113.400,108.200,.,.,114.500
1986-01-01,110.000,114.000,108.700,104.900,.,.,118.400
1986-07-01,112.400,116.400,112.100,100.800,.,.,121.100
1987-01-01,112.200,118.200,124.900,102.800,.,.,126.000
1987-07-01,112.300,120.800,126.600,104.700,.,.,124.700
1988-01-01,115.600,122.000,129.000,104.500,.,.,126.200
1988-07-01,119.200,123.200,129.400,106.700,.,.,132.400
1989-01-01,121.400,124.700,138.400,110.700,.,.,135.500
1989-07-01,125.900,126.900,135.900,111.200,.,.,142.300
1990-01-01,130.500,129.000,137.300,114.400,.,.,151.900
1990-07-01,133.300,128.700,130.300,120.900,.,.,158.400
1991-01-01,135.300,129.300,154.300,119.000,.,.,165.700
1991-07-01,135.300,131.800,142.500,118.400,.,.,167.300
1992-01-01,135.800,132.400,161.400,117.800,.,.,171.700
1992-07-01,135.700,133.000,143.700,121.200,.,.,174.400
1993-01-01,138.400,135.700,153.800,123.100,.,.,182.700
1993-07-01,140.700,137.400,162.300,125.300,.,.,180.000
1994-01-01,140.800,139.900,173.200,123.600,.,.,181.200
1994-07-01,141.400,140.400,161.400,124.000,.,.,185.600
1995-01-01,145.400,145.000,160.500,126.900,.,.,191.800
1995-07-01,147.600,147.300,146.400,129.300,.,.,197.900
1996-01-01,150.500,150.500,146.800,133.600,.,.,198.700
1996-07-01,156.400,153.000,143.900,135.700,.,.,202.600
1997-01-01,158.200,155.700,137.000,133.200,.,.,208.200
1997-07-01,160.800,157.000,137.100,131.800,.,.,216.700
1998-01-01,163.100,159.600,139.800,128.000,100.900,100.100,219.300
1998-07-01,166.300,162.500,135.500,127.600,99.600,100.700,223.200
1999-01-01,166.700,164.000,129.400,128.300,100.800,101.000,241.600
1999-07-01,168.400,166.200,135.300,132.200,102.300,102.100,244.800
2000-01-01,171.400,169.100,133.800,136.400,103.600,103.100,245.500
2000-07-01,172.200,172.900,130.800,138.800,103.600,104.600,254.200
2001-01-01,178.600,178.000,130.500,140.300,106.100,105.800,260.500
2001-07-01,181.600,178.800,123.500,137.600,107.000,108.600,267.500
2002-01-01,181.900,179.300,134.400,138.200,107.600,108.300,271.300
2002-07-01,182.000,180.100,128.200,141.100,107.500,109.700,272.700
2003-01-01,184.800,182.300,129.100,144.400,106.700,106.800,273.000
2003-07-01,188.800,180.900,122.200,143.900,106.200,104.100,279.000
2004-01-01,193.100,181.800,113.600,150.200,106.100,103.600,280.400
2004-07-01,195.400,180.700,116.000,155.900,107.300,103.600,282.400
2005-01-01,197.200,182.900,116.000,161.700,108.700,103.500,288.200
2005-07-01,198.200,186.600,110.100,171.500,112.400,104.300,288.700
2006-01-01,200.700,188.200,111.200,173.600,115.800,105.000,294.900
2006-07-01,203.000,191.100,116.800,172.600,116.900,108.300,300.000
2007-01-01,205.487,195.558,125.246,174.773,116.058,108.625,304.420
2007-07-01,209.531,199.169,123.014,181.471,115.657,111.672,310.030
2008-01-01,214.484,202.799,126.612,192.569,114.986,112.622,313.143
2008-07-01,220.738,203.660,120.074,186.136,109.550,114.495,309.084
2009-01-01,219.561,201.210,123.042,161.583,106.530,116.236,301.245
2009-07-01,218.766,200.159,121.773,174.478,96.825,123.051,309.052
2010-01-01,221.344,199.887,129.568,181.340,92.584,124.477,310.320
2010-07-01,222.064,198.976,129.559,184.441,88.512,125.542,314.302
2011-01-01,226.219,199.116,128.126,204.607,89.997,125.169,314.961
2011-07-01,231.791,200.381,134.541,205.798,90.662,126.036,316.446
2012-01-01,234.251,201.483,131.095,210.942,89.868,127.178,311.129
2012-07-01,236.263,200.990,133.867,210.676,88.922,128.544,318.943
2013-01-01,237.729,203.167,132.823,212.353,87.333,129.670,338.842
2013-07-01,238.930,206.221,138.619,210.931,86.375,131.758,330.632
2014-01-01,242.627,209.591,139.898,214.651,86.150,133.250,338.984
2014-07-01,246.308,213.313,135.490,206.934,85.166,134.083,342.008
2015-01-01,250.437,214.894,132.961,190.626,86.171,132.963,345.909
2015-07-01,250.368,219.595,142.553,188.620,86.967,134.734,364.193
2016-01-01,249.477,220.651,140.610,185.252,86.806,135.160,364.841
2016-07-01,248.968,227.054,142.011,189.030,85.662,135.042,363.331
2017-01-01,249.780,232.183,140.200,192.030,86.481,132.380,370.157
2017-07-01,252.429,237.580,137.850,203.501,85.803,132.793,374.082
2018-01-01,253.321,239.529,141.073,210.110,85.057,131.594,376.761
2018-07-01,253.271,244.393,138.872,211.165,83.928,134.228,382.956
2019-01-01,256.266,249.303,145.209,206.257,84.771,135.188,381.947
2019-07-01,259.692,256.100,142.052,206.247,83.441,136.849,391.514
2020-01-01,264.181,257.668,132.608,194.192,85.033,136.892,397.679
2020-07-01,267.824,260.595,133.295,201.038,85.294,138.647,400.307
2021-01-01,267.764,266.323,140.569,220.303,88.130,141.354,409.475
2021-07-01,273.485,276.074,148.482,245.917,89.583,143.814,421.487
2022-01-01,288.290,291.371,156.820,277.466,93.526,141.823,445.238
2022-07-01,306.265,310.498,157.602,275.366,97.296,139.515,464.684
2023-01-01,314.078,320.472,160.199,274.307,98.380,139.364,476.394
2023-07-01,320.215,330.443,157.604,275.662,98.464,141.601,494.792
