DATE,CUUSA207SAF,CUUSA207SAH,CUUSA207SAA,CUUSA207SAT,CUUSA207SAR,CUUSA207SAE,CUUSA207SAG
1984-01-01,102.000,103.000,98.800,101.900,.,.,105.800
1984-07-01,102.000,106.300,105.300,103.400,.,.,109.400
1985-01-01,103.600,108.100,104.600,104.700,.,.,113.200
1985-07-01,104.800,111.100,107.400,105.900,.,.,117.000
1986-01-01,107.700,111.500,101.000,102.300,.,.,122.900
1986-07-01,110.100,114.400,106.800,100.000,.,.,125.500
1987-01-01,112.800,114.400,106.400,104.600,.,.,128.500
1987-07-01,113.600,118.300,112.100,107.600,.,.,130.800
1988-01-01,115.200,118.300,113.900,107.100,.,.,135.000
1988-07-01,118.900,123.100,119.300,108.200,.,.,141.100
1989-01-01,121.800,124.700,115.500,111.400,.,.,148.200
1989-07-01,123.200,128.100,120.600,112.700,.,.,158.000
1990-01-01,128.900,129.900,124.000,115.700,.,.,161.300
1990-07-01,131.600,132.800,124.600,121.700,.,.,167.300
1991-01-01,135.600,135.500,124.000,121.100,.,.,174.700
1991-07-01,135.400,137.300,126.500,121.200,.,.,183.300
1992-01-01,138.500,139.000,124.900,121.900,.,.,188.400
1992-07-01,139.800,140.800,127.600,124.400,.,.,195.500
1993-01-01,142.200,142.300,130.900,125.900,.,.,199.600
1993-07-01,143.900,144.200,131.400,126.500,.,.,205.400
1994-01-01,146.800,143.900,131.000,127.600,.,.,206.100
1994-07-01,147.200,145.800,130.900,133.000,.,.,211.500
1995-01-01,151.100,149.600,127.300,135.000,.,.,215.000
1995-07-01,151.600,151.600,125.400,135.200,.,.,218.600
1996-01-01,154.200,153.900,122.500,139.000,.,.,220.000
1996-07-01,158.000,156.400,118.700,140.900,.,.,224.700
1997-01-01,159.600,158.700,124.900,141.200,.,.,229.900
1997-07-01,161.300,161.600,119.800,139.300,.,.,236.700
1998-01-01,163.800,163.800,121.800,137.800,101.000,103.800,243.400
1998-07-01,165.900,164.600,121.300,138.200,101.700,105.100,247.900
1999-01-01,168.200,166.400,120.200,138.700,102.500,106.200,257.700
1999-07-01,168.600,169.600,114.200,142.300,103.400,107.300,260.900
2000-01-01,170.500,172.100,113.800,149.300,102.400,109.400,267.300
2000-07-01,172.300,178.500,111.300,147.600,102.000,110.400,268.100
2001-01-01,175.600,182.100,108.600,151.500,104.800,111.900,273.200
2001-07-01,176.900,180.900,103.900,148.200,109.200,113.100,282.200
2002-01-01,178.500,185.500,100.500,147.200,107.900,114.400,288.300
2002-07-01,177.700,188.000,99.200,149.800,107.300,117.400,295.600
2003-01-01,180.200,190.700,92.900,151.600,106.400,117.000,295.300
2003-07-01,181.700,193.100,92.500,151.400,107.200,117.600,299.700
2004-01-01,184.700,193.500,92.600,155.900,106.700,117.900,306.400
2004-07-01,187.900,196.300,96.400,157.700,108.100,118.900,309.000
2005-01-01,189.900,197.800,95.800,160.300,108.600,119.900,311.600
2005-07-01,190.500,203.800,97.600,168.000,108.200,120.500,313.500
2006-01-01,193.400,203.800,96.600,169.900,110.200,121.500,316.300
2006-07-01,194.700,204.700,95.600,170.200,109.200,123.900,316.600
2007-01-01,198.159,211.764,95.452,172.512,108.562,124.700,320.341
2007-07-01,202.369,213.793,92.643,179.104,109.360,128.894,323.552
2008-01-01,207.751,218.612,90.450,190.387,112.216,130.699,329.219
2008-07-01,213.216,218.850,92.332,184.315,111.989,133.641,332.750
2009-01-01,215.120,213.860,92.928,164.238,111.928,135.654,345.023
2009-07-01,215.496,214.018,94.495,175.055,112.176,136.844,348.962
2010-01-01,215.678,213.746,92.291,181.215,111.013,135.733,350.761
2010-07-01,217.081,213.387,90.291,182.966,111.690,137.007,349.462
2011-01-01,221.216,215.125,90.821,199.997,112.564,136.973,353.732
2011-07-01,225.237,217.361,92.929,200.258,106.800,137.809,354.404
2012-01-01,227.422,217.583,93.688,205.497,109.351,137.617,354.748
2012-07-01,229.244,218.739,94.612,203.996,109.925,137.795,372.517
2013-01-01,230.050,221.386,93.590,206.137,110.528,138.424,375.158
2013-07-01,229.827,223.289,95.822,200.062,109.550,139.405,381.901
2014-01-01,234.949,228.396,96.571,203.746,109.301,140.783,383.637
2014-07-01,238.677,230.940,92.790,194.917,108.984,142.786,383.890
2015-01-01,240.173,231.796,89.016,184.082,109.826,141.781,381.570
2015-07-01,242.936,232.495,90.005,183.415,109.262,143.025,383.202
2016-01-01,243.356,235.029,88.393,177.729,110.479,142.390,383.246
2016-07-01,242.493,237.560,87.827,178.417,106.568,143.891,385.221
2017-01-01,243.002,240.885,85.234,182.650,111.533,143.754,384.900
2017-07-01,244.855,242.150,88.352,182.041,114.335,143.257,388.274
2018-01-01,247.232,246.643,85.882,187.549,113.029,143.435,392.824
2018-07-01,249.323,248.804,83.402,186.392,111.065,142.616,395.391
2019-01-01,252.127,252.470,85.191,187.323,112.421,141.152,398.735
2019-07-01,253.720,254.406,87.139,186.821,113.874,141.829,406.471
2020-01-01,258.587,257.328,82.226,178.163,114.240,142.452,408.250
2020-07-01,264.413,259.617,81.593,178.103,114.520,141.653,407.510
2021-01-01,270.395,264.248,81.864,193.384,117.244,141.518,407.844
2021-07-01,280.151,272.655,83.821,208.714,114.584,141.738,414.622
2022-01-01,295.361,281.833,87.736,233.477,119.959,139.547,426.709
2022-07-01,306.374,292.036,88.978,236.821,124.325,139.991,440.498
2023-01-01,312.580,296.297,91.338,234.772,132.605,141.097,450.280
2023-07-01,317.366,300.932,88.748,237.527,132.613,140.893,466.576
