DATE,CUUSA208SAF,CUUSA208SAH,CUUSA208SAA,CUUSA208SAT,CUUSA208SAR,CUUSA208SAE,CUUSA208SAG
1984-01-01,101.200,102.300,99.700,102.500,.,.,105.100
1984-07-01,101.500,104.200,101.700,104.800,.,.,107.300
1985-01-01,102.900,106.600,99.000,105.900,.,.,109.900
1985-07-01,103.400,108.400,106.200,107.200,.,.,113.300
1986-01-01,105.700,110.000,102.000,104.200,.,.,112.800
1986-07-01,108.800,109.600,104.500,102.300,.,.,116.400
1987-01-01,110.000,112.300,105.900,103.800,.,.,118.200
1987-07-01,111.100,113.700,110.200,106.800,.,.,122.600
1988-01-01,112.900,114.600,112.900,107.200,.,.,127.800
1988-07-01,116.400,117.600,117.500,111.700,.,.,132.200
1989-01-01,119.900,119.500,122.100,116.300,.,.,135.800
1989-07-01,121.700,122.900,123.300,117.600,.,.,140.000
1990-01-01,125.400,124.800,126.800,120.500,.,.,144.400
1990-07-01,127.600,127.900,128.900,127.600,.,.,150.500
1991-01-01,130.000,128.000,131.100,129.200,.,.,156.900
1991-07-01,132.300,129.300,132.500,129.500,.,.,164.500
1992-01-01,133.300,130.800,130.900,129.600,.,.,169.100
1992-07-01,133.600,132.800,129.000,130.300,.,.,178.600
1993-01-01,134.400,133.100,137.300,131.900,.,.,183.500
1993-07-01,136.100,135.700,138.500,133.200,.,.,183.400
1994-01-01,137.200,136.700,139.800,136.400,.,.,188.800
1994-07-01,140.300,138.400,132.300,140.900,.,.,205.500
1995-01-01,143.000,139.400,136.800,143.700,.,.,208.400
1995-07-01,144.200,141.900,137.100,143.500,.,.,213.200
1996-01-01,146.000,144.600,135.200,146.700,.,.,215.600
1996-07-01,149.800,146.400,128.300,149.300,.,.,219.500
1997-01-01,151.000,148.900,135.800,148.600,.,.,223.500
1997-07-01,151.900,150.900,134.600,149.400,.,.,233.400
1998-01-01,153.500,152.800,133.700,149.000,100.800,101.000,241.600
1998-07-01,155.700,154.500,133.600,148.800,99.400,104.300,254.600
1999-01-01,157.700,155.100,135.900,150.300,102.600,105.800,266.000
1999-07-01,158.800,157.600,130.900,154.000,106.500,107.600,268.600
2000-01-01,162.300,160.500,129.000,160.700,106.000,107.700,273.000
2000-07-01,165.500,163.000,126.800,164.200,107.300,108.100,278.500
2001-01-01,167.300,165.400,127.900,169.500,107.300,108.500,285.200
2001-07-01,169.600,167.100,122.200,167.000,106.800,110.100,289.300
2002-01-01,171.000,170.000,124.800,167.900,111.300,113.300,296.900
2002-07-01,172.700,171.600,125.500,168.600,121.500,114.500,304.400
2003-01-01,174.400,173.700,125.800,172.600,121.300,114.100,304.600
2003-07-01,175.600,173.900,124.300,174.000,119.900,115.700,307.400
2004-01-01,176.700,175.200,122.500,175.900,120.400,117.600,308.600
2004-07-01,177.700,176.900,124.800,179.000,119.400,118.400,325.100
2005-01-01,179.700,179.700,115.800,183.800,119.900,119.100,332.100
2005-07-01,181.400,183.500,117.400,194.600,118.600,119.900,333.500
2006-01-01,181.700,188.400,107.600,198.900,119.900,122.300,340.000
2006-07-01,185.000,188.600,111.100,197.700,122.600,124.500,342.600
2007-01-01,188.490,189.830,110.839,201.557,120.173,126.701,347.954
2007-07-01,189.694,189.737,103.627,207.437,118.701,128.938,350.748
2008-01-01,192.151,192.159,109.493,218.860,117.235,129.447,351.898
2008-07-01,197.338,192.564,111.814,213.063,118.871,132.039,350.232
2009-01-01,199.290,191.345,108.823,198.519,118.241,132.644,365.084
2009-07-01,198.433,190.402,110.296,213.052,114.465,134.402,378.874
2010-01-01,198.890,188.463,105.872,218.565,110.021,133.949,383.908
2010-07-01,201.123,188.122,107.190,222.549,112.107,135.381,384.173
2011-01-01,204.922,187.661,111.967,240.909,111.136,134.626,386.818
2011-07-01,208.960,190.362,117.917,243.189,113.767,136.854,394.245
2012-01-01,210.107,191.515,113.131,246.572,118.921,138.483,399.809
2012-07-01,209.859,193.659,118.860,250.694,117.316,138.694,399.500
2013-01-01,211.915,195.595,119.505,253.189,119.475,139.803,397.919
2013-07-01,213.426,196.275,120.583,248.396,117.424,142.710,400.790
2014-01-01,216.856,199.284,125.483,251.887,114.690,144.143,405.246
2014-07-01,219.454,201.064,120.020,243.824,112.349,145.435,393.562
2015-01-01,220.785,199.682,112.409,227.837,112.881,144.719,392.167
2015-07-01,220.727,201.625,116.750,229.729,113.289,145.591,399.358
2016-01-01,222.728,203.542,110.757,222.791,117.034,147.050,401.840
2016-07-01,220.867,207.297,116.718,227.468,119.924,146.031,402.229
2017-01-01,221.894,211.249,117.726,229.677,120.149,140.530,401.293
2017-07-01,222.311,215.103,119.134,232.211,117.896,141.906,404.580
2018-01-01,224.033,217.188,118.503,240.374,119.305,142.482,423.028
2018-07-01,223.173,219.014,121.319,244.884,114.487,145.367,436.596
2019-01-01,224.953,221.643,115.348,242.562,112.525,144.537,443.417
2019-07-01,227.405,225.959,115.410,247.943,113.484,144.475,440.166
2020-01-01,229.521,227.055,106.961,236.786,113.161,145.565,444.985
2020-07-01,229.283,229.393,105.886,246.037,112.655,148.052,449.447
2021-01-01,237.029,233.477,100.628,252.162,114.037,149.369,453.182
2021-07-01,245.062,242.628,96.875,270.648,115.230,152.112,470.758
2022-01-01,260.355,251.011,103.831,295.208,119.889,152.953,489.917
2022-07-01,276.916,257.248,104.855,306.820,123.229,153.829,493.502
2023-01-01,283.263,271.010,110.394,311.447,124.098,155.853,513.229
2023-07-01,285.868,281.822,104.276,320.259,124.980,158.319,529.203
