DATE,CUUSA214SAF,CUUSA214SAH,CUUSA214SAA,CUUSA214SAT,CUUSA214SAR,CUUSA214SAE,CUUSA214SAG
1984-01-01,102.600,104.200,102.600,102.300,.,.,106.300
1984-07-01,104.000,105.900,102.500,103.800,.,.,109.900
1985-01-01,106.000,107.000,105.200,105.600,.,.,112.800
1985-07-01,106.000,108.200,104.800,107.400,.,.,118.600
1986-01-01,108.300,108.700,108.900,101.400,.,.,122.900
1986-07-01,110.700,110.300,105.100,98.700,.,.,128.000
1987-01-01,112.700,112.200,104.800,101.000,.,.,132.500
1987-07-01,112.900,114.900,114.600,104.700,.,.,137.400
1988-01-01,114.700,117.900,111.300,105.500,.,.,139.500
1988-07-01,116.900,118.700,115.000,108.800,.,.,143.700
1989-01-01,118.800,119.600,114.200,112.000,.,.,150.200
1989-07-01,120.900,119.700,125.100,112.400,.,.,154.500
1990-01-01,127.000,121.300,113.800,112.800,.,.,157.500
1990-07-01,127.900,122.400,119.300,119.500,.,.,161.800
1991-01-01,131.100,124.500,121.000,118.500,.,.,171.500
1991-07-01,130.800,126.300,128.400,119.900,.,.,180.000
1992-01-01,130.700,126.800,125.300,120.900,.,.,187.800
1992-07-01,135.100,127.600,124.200,122.800,.,.,191.100
1993-01-01,137.400,129.300,126.200,124.600,.,.,194.700
1993-07-01,138.100,131.600,124.500,124.700,.,.,198.800
1994-01-01,138.800,132.400,129.400,126.600,.,.,202.300
1994-07-01,141.600,133.800,117.100,129.600,.,.,204.600
1995-01-01,142.800,135.000,128.100,133.300,.,.,205.900
1995-07-01,146.500,138.300,123.600,133.500,.,.,211.000
1996-01-01,151.700,141.300,134.300,136.600,.,.,218.100
1996-07-01,156.600,143.500,124.800,138.600,.,.,224.700
1997-01-01,158.800,145.100,135.100,141.100,.,.,233.400
1997-07-01,161.200,147.200,131.800,140.400,.,.,242.100
1998-01-01,158.900,151.300,130.700,137.400,101.800,98.600,247.000
1998-07-01,160.500,152.300,127.500,137.000,100.500,97.700,255.000
1999-01-01,159.000,153.600,119.100,137.400,100.900,97.500,271.400
1999-07-01,163.000,155.700,124.000,140.900,100.500,99.100,283.700
2000-01-01,162.900,159.300,118.100,146.800,102.400,100.300,295.500
2000-07-01,167.000,163.800,119.000,148.100,103.200,102.000,294.700
2001-01-01,170.600,168.400,120.400,150.600,106.000,103.200,301.600
2001-07-01,174.100,168.600,118.100,145.500,106.300,114.000,301.600
2002-01-01,175.400,168.400,112.400,145.300,107.500,117.400,308.700
2002-07-01,173.600,170.300,114.900,150.300,107.600,116.300,311.500
2003-01-01,175.100,172.900,106.900,153.100,109.500,114.300,307.900
2003-07-01,177.800,175.500,106.600,151.700,109.300,112.700,308.900
2004-01-01,180.100,177.200,105.600,156.300,110.200,112.600,313.200
2004-07-01,182.400,179.700,105.600,159.100,112.000,111.300,314.600
2005-01-01,185.900,179.200,109.900,164.300,112.400,110.200,318.200
2005-07-01,188.800,182.000,105.700,172.900,113.000,110.900,312.400
2006-01-01,190.600,182.500,103.100,174.900,113.800,110.900,316.900
2006-07-01,193.100,184.800,112.700,175.800,115.700,114.300,319.800
2007-01-01,196.627,187.134,110.528,177.784,113.946,114.009,324.187
2007-07-01,200.003,189.345,108.442,182.594,113.457,115.505,323.679
2008-01-01,206.678,193.093,107.382,196.778,114.445,116.728,328.186
2008-07-01,214.877,195.133,105.704,186.372,116.260,118.938,328.220
2009-01-01,217.153,192.955,108.665,168.554,124.055,120.085,340.630
2009-07-01,217.739,193.748,110.801,181.074,124.915,122.205,348.385
2010-01-01,220.978,194.106,109.828,185.905,124.747,123.668,353.221
2010-07-01,222.549,193.881,115.976,189.991,122.752,126.543,357.064
2011-01-01,230.330,195.539,113.241,206.796,126.580,126.353,358.956
2011-07-01,237.259,198.753,115.429,208.535,128.141,127.434,366.710
2012-01-01,240.082,199.294,119.032,211.753,129.800,129.547,373.848
2012-07-01,243.047,201.373,126.920,211.748,128.558,129.559,376.621
2013-01-01,244.571,205.208,121.931,214.678,129.408,130.783,379.256
2013-07-01,245.839,205.725,121.369,209.137,130.811,128.337,378.223
2014-01-01,249.749,207.730,120.186,212.086,130.336,127.780,380.770
2014-07-01,255.318,208.829,116.323,204.681,128.090,127.697,383.306
2015-01-01,255.432,211.173,116.529,192.376,129.837,125.422,385.861
2015-07-01,256.995,212.652,113.271,193.754,130.430,126.657,390.107
2016-01-01,257.393,214.379,115.314,186.195,131.011,125.488,395.622
2016-07-01,256.807,217.805,108.345,189.955,129.729,125.802,396.601
2017-01-01,259.643,220.122,108.216,194.005,129.927,125.208,401.055
2017-07-01,262.447,222.000,107.560,195.396,132.053,125.332,402.735
