DATE,CUUSA421SAF,CUUSA421SAH,CUUSA421SAA,CUUSA421SAT,CUUSA421SAR,CUUSA421SAE,CUUSA421SAG
1984-01-01,102.500,102.200,100.200,102.800,.,.,103.600
1984-07-01,103.700,105.600,102.500,104.600,.,.,110.000
1985-01-01,105.100,107.300,103.200,107.100,.,.,113.800
1985-07-01,106.000,112.100,107.000,107.800,.,.,116.700
1986-01-01,108.000,114.000,106.600,106.400,.,.,121.200
1986-07-01,109.400,118.100,107.300,104.000,.,.,123.300
1987-01-01,113.100,119.500,111.700,107.700,.,.,125.400
1987-07-01,113.400,122.600,113.300,110.100,.,.,130.400
1988-01-01,115.500,125.300,116.000,112.400,.,.,137.000
1988-07-01,118.900,128.000,112.600,115.200,.,.,142.800
1989-01-01,123.000,129.600,118.800,119.300,.,.,152.600
1989-07-01,125.100,133.900,118.700,119.900,.,.,158.000
1990-01-01,130.400,137.300,127.200,123.200,.,.,163.800
1990-07-01,131.500,141.200,125.600,129.800,.,.,168.800
1991-01-01,136.500,144.000,129.000,126.200,.,.,175.400
1991-07-01,136.700,145.900,132.900,126.900,.,.,184.500
1992-01-01,140.100,147.900,134.600,130.800,.,.,193.000
1992-07-01,141.800,149.200,131.700,135.300,.,.,201.200
1993-01-01,144.400,150.400,131.800,137.200,.,.,210.300
1993-07-01,145.800,150.500,131.500,137.800,.,.,213.600
1994-01-01,147.600,151.200,130.600,139.200,.,.,216.600
1994-07-01,149.500,150.900,128.700,141.800,.,.,219.400
1995-01-01,153.000,152.100,128.800,143.300,.,.,223.800
1995-07-01,153.700,152.300,124.600,141.400,.,.,227.500
1996-01-01,156.100,153.200,128.100,144.900,.,.,230.200
1996-07-01,159.400,155.000,123.900,143.800,.,.,235.500
1997-01-01,162.800,155.700,123.200,144.800,.,.,239.100
1997-07-01,163.700,157.500,118.800,145.500,.,.,242.300
1998-01-01,166.500,159.200,125.700,141.900,100.600,99.700,246.100
1998-07-01,168.100,161.100,120.400,143.200,101.400,99.300,250.800
1999-01-01,170.000,163.100,120.300,145.300,102.800,99.000,272.400
1999-07-01,169.900,165.900,116.100,148.200,100.900,99.400,277.600
2000-01-01,172.000,168.900,117.300,152.900,104.500,99.600,283.000
2000-07-01,175.200,172.600,116.700,155.600,104.500,99.900,290.200
2001-01-01,179.800,177.100,115.500,157.800,105.600,100.800,292.600
2001-07-01,182.400,181.900,108.800,152.800,106.500,102.200,297.600
2002-01-01,184.500,186.300,109.900,153.500,109.400,101.200,297.100
2002-07-01,185.300,189.800,108.100,155.400,108.500,104.900,296.400
2003-01-01,188.100,193.000,107.500,162.100,109.500,105.500,297.800
2003-07-01,192.300,193.300,105.200,158.500,110.900,108.600,299.800
2004-01-01,195.100,198.300,106.200,164.700,112.800,109.700,300.500
2004-07-01,195.900,203.300,103.800,168.400,111.700,113.400,303.400
2005-01-01,198.300,209.400,104.500,171.600,112.600,114.400,308.000
2005-07-01,201.200,215.900,106.400,178.000,113.600,116.500,309.600
2006-01-01,203.100,223.200,107.200,182.100,115.100,117.200,318.400
2006-07-01,204.400,227.800,104.700,181.100,114.900,118.700,325.600
2007-01-01,210.115,235.464,104.585,182.681,114.310,119.161,328.680
2007-07-01,212.213,238.424,104.134,183.654,114.283,122.119,332.008
2008-01-01,218.031,242.534,106.127,195.478,114.972,124.225,339.046
2008-07-01,223.446,245.278,106.538,189.707,116.315,127.094,343.145
2009-01-01,223.880,244.823,107.175,171.951,113.800,128.845,350.933
2009-07-01,221.828,244.004,108.701,185.213,110.968,130.674,357.387
2010-01-01,223.781,242.909,110.804,189.917,107.228,133.309,359.825
2010-07-01,224.715,243.594,107.215,191.845,104.903,135.677,367.602
2011-01-01,230.962,244.846,112.492,207.991,105.066,136.487,370.838
2011-07-01,234.347,245.340,110.658,207.558,103.396,138.142,368.506
2012-01-01,236.500,247.857,113.235,214.534,104.079,139.523,371.721
2012-07-01,237.577,250.722,113.881,213.374,103.727,142.516,372.740
2013-01-01,238.868,253.661,113.475,214.537,103.480,143.714,376.258
2013-07-01,239.308,255.644,109.399,210.204,103.476,144.560,374.316
2014-01-01,242.277,258.147,113.525,214.173,105.360,145.038,377.287
2014-07-01,246.783,262.106,112.195,204.496,104.228,145.743,381.097
2015-01-01,248.370,265.351,109.163,199.862,103.062,145.859,382.380
2015-07-01,250.101,268.842,110.526,199.712,105.094,146.841,388.793
2016-01-01,251.830,274.477,112.995,192.131,107.494,145.485,389.930
2016-07-01,251.302,280.331,109.197,190.508,106.155,142.384,392.432
2017-01-01,254.333,286.121,108.583,197.008,106.612,142.233,400.627
2017-07-01,256.317,290.634,105.254,200.583,107.857,144.121,414.828
