DATE,CUUSA320SAF,CUUSA320SAH,CUUSA320SAA,CUUSA320SAT,CUUSA320SAR,CUUSA320SAE,CUUSA320SAG
1984-01-01,103.500,101.700,100.900,104.100,.,.,105.700
1984-07-01,103.800,103.300,102.400,105.900,.,.,108.100
1985-01-01,104.300,104.400,103.900,107.500,.,.,111.400
1985-07-01,104.500,106.900,107.400,109.000,.,.,115.400
1986-01-01,106.400,107.000,108.800,105.200,.,.,119.400
1986-07-01,107.800,107.200,109.300,102.100,.,.,124.200
1987-01-01,112.500,107.600,114.600,105.200,.,.,126.200
1987-07-01,113.600,109.800,116.700,108.000,.,.,130.400
1988-01-01,116.700,112.100,121.000,109.400,.,.,131.800
1988-07-01,120.700,114.100,125.900,112.000,.,.,135.500
1989-01-01,123.500,115.200,129.300,114.700,.,.,137.900
1989-07-01,127.800,117.200,133.400,114.900,.,.,141.700
1990-01-01,133.500,118.000,133.400,119.000,.,.,148.800
1990-07-01,135.000,122.800,137.700,124.300,.,.,157.600
1991-01-01,137.300,122.800,140.600,126.900,.,.,161.200
1991-07-01,138.200,124.600,140.200,125.100,.,.,161.800
1992-01-01,139.500,126.200,139.400,126.200,.,.,160.400
1992-07-01,141.800,126.200,138.100,129.500,.,.,160.700
1993-01-01,145.700,129.700,144.200,131.500,.,.,162.900
1993-07-01,148.100,131.100,135.900,132.400,.,.,162.100
1994-01-01,151.900,134.300,145.100,134.400,.,.,161.700
1994-07-01,153.600,136.100,141.900,136.300,.,.,163.900
1995-01-01,156.600,138.700,151.700,139.800,.,.,167.200
1995-07-01,157.600,141.100,142.300,139.900,.,.,172.200
1996-01-01,159.400,144.000,146.800,142.800,.,.,173.000
1996-07-01,163.400,146.200,145.300,145.700,.,.,177.100
1997-01-01,165.300,149.900,154.400,147.500,.,.,178.800
1997-07-01,166.200,150.600,152.600,146.900,.,.,183.800
1998-01-01,168.200,153.200,154.900,143.800,100.600,100.300,188.300
1998-07-01,169.900,153.900,149.400,144.600,100.000,100.800,192.800
1999-01-01,170.100,155.000,137.200,146.000,99.300,101.800,200.600
1999-07-01,172.000,155.400,139.200,151.700,99.200,102.300,206.000
2000-01-01,173.100,157.800,150.700,157.300,99.500,102.100,210.400
2000-07-01,176.500,159.400,151.500,160.000,99.200,104.000,214.800
2001-01-01,180.100,163.400,150.200,161.500,102.100,105.000,226.400
2001-07-01,181.400,165.000,151.200,157.500,105.100,108.100,232.800
2002-01-01,183.300,166.800,153.200,155.900,107.800,104.800,238.400
2002-07-01,184.400,168.700,150.200,159.000,107.500,106.200,239.200
2003-01-01,187.200,172.000,152.900,164.100,109.900,106.000,240.900
2003-07-01,190.300,173.900,145.000,162.700,108.700,108.100,242.500
2004-01-01,193.500,177.500,143.700,167.100,109.700,109.000,246.000
2004-07-01,196.500,180.800,135.400,170.200,110.100,107.100,248.700
2005-01-01,199.300,188.000,140.700,175.000,111.100,106.800,249.000
2005-07-01,200.800,192.800,149.700,184.600,111.800,107.900,248.800
2006-01-01,201.700,202.700,153.800,186.900,113.700,107.700,251.600
2006-07-01,205.600,206.400,154.300,184.000,114.400,110.000,256.500
2007-01-01,208.400,213.704,157.666,186.707,112.548,111.919,259.335
2007-07-01,213.515,219.462,152.850,192.603,110.992,115.003,260.728
2008-01-01,219.242,224.007,150.311,205.963,115.456,115.385,272.198
2008-07-01,226.408,227.648,151.496,197.556,116.444,116.159,277.856
2009-01-01,225.939,228.929,138.664,183.060,119.593,115.002,285.270
2009-07-01,225.491,226.128,136.668,194.315,117.804,118.205,301.632
2010-01-01,227.583,223.802,134.846,200.659,114.649,118.575,304.590
2010-07-01,229.072,224.369,136.436,203.500,110.249,120.727,299.466
2011-01-01,235.073,225.705,136.717,222.773,115.573,121.125,299.581
2011-07-01,241.544,225.783,142.099,229.322,113.768,121.757,300.502
2012-01-01,241.824,227.879,146.201,234.769,113.310,121.651,299.393
2012-07-01,244.506,229.767,141.016,235.703,112.467,123.030,299.057
2013-01-01,244.260,231.573,143.420,239.007,114.106,123.712,303.902
2013-07-01,246.229,233.189,144.692,233.075,114.143,124.728,306.938
2014-01-01,249.605,238.223,148.366,238.083,114.554,125.937,313.326
2014-07-01,254.052,241.090,140.925,228.208,113.965,127.298,327.843
2015-01-01,255.639,245.997,144.673,213.931,115.097,127.419,337.887
2015-07-01,259.032,249.178,145.331,211.055,114.474,128.461,340.229
2016-01-01,258.738,253.396,139.011,210.246,116.024,128.128,341.138
2016-07-01,258.816,257.415,138.159,216.260,116.482,126.699,343.725
2017-01-01,259.651,264.324,140.756,216.577,120.132,122.480,344.223
2017-07-01,261.571,268.934,143.918,212.194,119.100,120.508,347.374
2018-01-01,262.866,273.199,143.151,226.428,119.459,119.857,351.236
2018-07-01,263.696,276.705,138.842,226.491,120.473,120.112,355.580
2019-01-01,265.242,284.123,135.423,223.299,121.064,120.156,361.431
2019-07-01,264.614,286.088,141.996,221.867,121.171,121.683,364.568
2020-01-01,275.136,287.062,135.712,211.724,122.179,123.200,359.934
2020-07-01,281.975,290.608,138.999,211.418,124.686,122.869,360.435
2021-01-01,283.593,294.902,138.764,228.873,125.578,123.905,363.489
2021-07-01,283.513,303.103,142.877,255.174,123.920,125.041,378.586
2022-01-01,293.547,321.268,145.966,279.030,131.137,126.526,415.937
2022-07-01,306.935,344.737,145.455,272.947,132.093,129.144,427.349
2023-01-01,316.871,369.234,152.814,273.425,133.071,133.858,452.528
2023-07-01,320.741,382.192,161.320,278.264,135.863,133.971,459.502
