DATE,CUUSA101SAF,CUUSA101SAH,CUUSA101SAA,CUUSA101SAT,CUUSA101SAR,CUUSA101SAE,CUUSA101SAG
1984-01-01,103.100,103.600,100.400,104.200,.,.,107.200
1984-07-01,104.300,106.000,103.600,105.800,.,.,110.900
1985-01-01,106.600,107.400,103.100,106.700,.,.,114.100
1985-07-01,107.900,110.000,105.800,107.600,.,.,118.200
1986-01-01,110.500,111.900,103.500,105.900,.,.,121.600
1986-07-01,113.800,113.700,104.900,103.700,.,.,125.500
1987-01-01,117.300,116.200,108.600,106.900,.,.,128.600
1987-07-01,119.900,119.900,111.200,110.600,.,.,133.100
1988-01-01,123.300,123.700,104.400,111.500,.,.,137.300
1988-07-01,126.400,126.600,110.400,114.000,.,.,141.700
1989-01-01,131.000,130.000,112.500,116.100,.,.,147.800
1989-07-01,133.200,133.700,115.400,116.800,.,.,155.900
1990-01-01,138.400,137.400,120.300,119.600,.,.,160.600
1990-07-01,140.800,141.200,123.400,126.500,.,.,167.300
1991-01-01,144.700,144.500,122.800,127.400,.,.,172.900
1991-07-01,143.900,146.900,126.300,128.400,.,.,181.500
1992-01-01,145.700,150.200,125.500,129.800,.,.,188.000
1992-07-01,146.200,152.600,131.500,133.100,.,.,194.000
1993-01-01,148.800,154.600,129.700,136.800,.,.,198.800
1993-07-01,149.300,156.400,129.000,138.600,.,.,201.400
1994-01-01,151.200,159.100,127.600,140.500,.,.,202.600
1994-07-01,152.700,160.600,124.900,143.200,.,.,207.200
1995-01-01,155.100,162.300,125.500,145.200,.,.,210.300
1995-07-01,156.700,164.600,126.400,146.600,.,.,216.600
1996-01-01,158.700,166.900,128.100,151.200,.,.,219.700
1996-07-01,160.600,168.500,127.300,153.700,.,.,223.700
1997-01-01,162.500,170.700,130.100,154.300,.,.,227.200
1997-07-01,163.500,172.700,130.600,153.900,.,.,232.900
1998-01-01,165.100,174.800,128.200,151.500,102.100,99.300,239.800
1998-07-01,167.100,177.100,127.600,150.700,102.500,100.100,245.500
1999-01-01,169.700,178.500,124.000,150.400,103.300,100.300,253.500
1999-07-01,171.300,180.700,127.000,154.200,103.900,101.000,259.400
2000-01-01,171.900,184.400,122.700,158.700,105.000,101.400,271.000
2000-07-01,173.800,187.800,124.700,161.300,106.100,103.100,276.200
2001-01-01,176.700,191.300,120.100,162.000,106.900,104.800,282.700
2001-07-01,178.400,194.000,114.400,159.700,107.900,106.900,287.900
2002-01-01,179.800,198.500,117.000,158.100,109.300,108.000,295.000
2002-07-01,180.800,201.300,113.700,161.500,109.800,110.500,306.600
2003-01-01,182.800,206.600,108.500,165.600,111.300,111.100,308.800
2003-07-01,185.300,209.500,113.500,167.200,111.600,112.200,314.400
2004-01-01,189.700,214.900,113.300,170.200,112.500,112.700,317.700
2004-07-01,193.600,218.600,112.900,173.700,112.800,114.200,321.600
2005-01-01,195.900,224.800,115.000,176.500,113.800,114.900,327.800
2005-07-01,198.100,228.300,115.900,185.900,114.100,118.200,330.000
2006-01-01,201.500,234.900,115.700,188.300,115.600,119.400,331.400
2006-07-01,204.300,241.200,111.600,187.900,114.000,122.200,333.000
2007-01-01,208.614,244.352,112.855,187.722,114.505,123.393,334.497
2007-07-01,213.142,248.158,110.160,193.170,114.058,126.736,338.376
2008-01-01,218.905,252.315,109.836,204.175,114.426,128.000,343.095
2008-07-01,226.502,257.715,113.243,200.337,115.327,132.299,352.101
2009-01-01,228.188,256.927,112.646,183.379,116.689,133.641,355.782
2009-07-01,227.454,257.316,116.359,196.582,116.863,135.298,365.036
2010-01-01,229.086,258.016,117.158,201.732,115.677,135.286,370.612
2010-07-01,230.691,259.113,119.562,204.188,115.161,135.695,380.850
2011-01-01,234.846,260.514,120.617,220.826,114.378,135.517,380.928
2011-07-01,239.553,263.180,124.507,225.393,116.673,137.427,385.206
2012-01-01,242.822,263.656,123.782,227.860,118.274,138.578,389.796
2012-07-01,244.660,266.302,125.546,229.313,118.581,139.636,392.494
2013-01-01,246.483,269.305,126.851,231.282,119.209,139.949,393.690
2013-07-01,246.589,271.958,126.044,231.191,119.232,141.150,395.950
2014-01-01,248.775,276.543,125.048,232.300,119.654,140.587,398.902
2014-07-01,253.276,276.624,126.579,226.430,118.450,141.050,399.085
2015-01-01,255.327,278.199,129.388,214.227,119.175,140.547,401.839
2015-07-01,256.736,280.451,129.824,212.066,118.714,142.453,406.136
2016-01-01,257.296,282.455,128.328,207.999,119.300,143.328,412.799
2016-07-01,257.050,286.818,126.625,209.143,120.169,143.431,415.388
2017-01-01,259.441,290.251,128.826,213.937,122.993,143.097,418.274
2017-07-01,261.646,292.817,125.772,214.534,123.164,142.073,422.198
2018-01-01,264.790,296.529,126.897,221.563,123.987,141.544,427.450
2018-07-01,268.021,298.958,124.497,221.798,123.083,142.773,431.660
2019-01-01,270.225,302.063,123.236,220.494,125.361,143.786,434.730
2019-07-01,271.899,304.269,120.495,221.245,126.534,146.784,439.875
2020-01-01,278.633,307.260,119.965,214.957,131.392,147.962,440.822
2020-07-01,282.609,309.021,117.497,214.261,133.293,150.281,444.304
2021-01-01,285.949,312.688,126.142,231.247,131.137,151.209,445.652
2021-07-01,296.625,316.538,126.004,242.705,137.802,154.563,459.762
2022-01-01,309.350,324.412,130.423,264.527,140.745,155.177,468.838
2022-07-01,323.141,333.359,127.728,270.632,142.450,156.885,476.308
2023-01-01,330.498,340.916,134.872,271.246,145.140,159.380,485.248
2023-07-01,333.383,348.647,131.215,278.739,150.861,159.201,488.774
