DATE,CUUSA102SAF,CUUSA102SAH,CUUSA102SAA,CUUSA102SAT,CUUSA102SAR,CUUSA102SAE,CUUSA102SAG
1984-01-01,102.300,102.600,99.300,103.400,.,.,107.700
1984-07-01,102.500,105.400,102.500,105.600,.,.,111.400
1985-01-01,104.500,108.000,101.200,108.100,.,.,115.100
1985-07-01,105.600,110.300,101.700,110.800,.,.,119.100
1986-01-01,106.700,111.900,99.600,108.200,.,.,124.200
1986-07-01,108.900,113.800,103.000,106.000,.,.,128.800
1987-01-01,111.200,116.400,105.500,109.700,.,.,134.000
1987-07-01,112.900,120.400,109.900,113.200,.,.,137.800
1988-01-01,114.400,121.800,108.400,114.600,.,.,142.600
1988-07-01,117.600,127.800,111.400,116.600,.,.,147.500
1989-01-01,121.900,128.800,104.200,120.200,.,.,153.000
1989-07-01,126.500,132.800,94.500,122.900,.,.,157.800
1990-01-01,130.100,136.200,100.400,125.400,.,.,165.200
1990-07-01,132.400,141.100,102.400,130.000,.,.,178.700
1991-01-01,135.600,144.200,103.900,131.000,.,.,182.900
1991-07-01,135.200,147.000,103.600,133.700,.,.,188.100
1992-01-01,137.200,148.500,106.600,135.000,.,.,192.600
1992-07-01,138.000,150.700,106.300,137.200,.,.,199.100
1993-01-01,139.600,151.300,105.300,138.500,.,.,205.900
1993-07-01,139.700,152.500,106.800,140.500,.,.,215.500
1994-01-01,141.400,153.700,106.200,142.400,.,.,220.300
1994-07-01,144.100,156.500,105.400,145.600,.,.,224.200
1995-01-01,148.300,157.000,102.900,148.500,.,.,225.500
1995-07-01,149.300,159.700,101.300,149.000,.,.,228.800
1996-01-01,151.200,161.300,102.800,150.400,.,.,231.400
1996-07-01,153.100,163.500,104.800,152.700,.,.,234.300
1997-01-01,154.200,166.400,102.500,153.100,.,.,239.400
1997-07-01,154.400,168.200,105.500,152.600,.,.,243.400
1998-01-01,154.500,168.800,105.000,149.700,100.400,99.300,250.400
1998-07-01,155.700,171.300,107.400,149.000,102.200,99.700,259.100
1999-01-01,158.100,171.800,106.100,149.500,101.900,100.000,271.600
1999-07-01,160.700,173.300,108.900,154.900,103.700,101.800,278.100
2000-01-01,161.000,175.300,104.200,159.500,106.900,101.700,283.600
2000-07-01,161.900,178.400,101.100,161.800,107.700,102.500,288.500
2001-01-01,165.500,182.700,98.500,162.600,107.100,103.200,294.500
2001-07-01,168.500,184.000,101.200,158.600,108.300,104.700,298.200
2002-01-01,171.000,186.400,98.600,155.400,107.700,104.900,306.000
2002-07-01,172.600,189.700,102.900,158.000,107.000,108.800,315.500
2003-01-01,174.700,190.200,94.200,160.500,109.300,108.600,320.300
2003-07-01,176.000,193.200,99.900,160.700,109.500,111.000,328.600
2004-01-01,179.100,197.000,99.700,165.700,111.900,111.000,335.500
2004-07-01,182.900,203.200,106.700,169.000,114.100,111.900,339.700
2005-01-01,185.700,205.900,104.400,174.500,115.500,111.800,344.700
2005-07-01,186.900,210.400,103.500,183.900,113.700,115.400,349.200
2006-01-01,189.000,217.500,101.300,185.800,115.000,116.200,364.200
2006-07-01,190.900,223.000,101.400,182.900,115.100,118.800,372.200
2007-01-01,194.663,223.936,101.055,181.517,116.725,118.802,381.652
2007-07-01,197.545,228.335,98.064,188.398,118.153,122.040,382.022
2008-01-01,201.180,230.656,101.937,199.630,122.590,122.859,382.999
2008-07-01,205.354,233.087,97.079,195.743,122.709,125.856,389.203
2009-01-01,207.144,231.247,101.574,174.981,122.995,127.949,402.705
2009-07-01,205.674,233.888,104.316,187.298,122.331,128.857,415.371
2010-01-01,207.538,234.390,105.172,193.543,121.677,129.704,419.227
2010-07-01,208.677,235.016,103.638,196.828,122.595,130.003,421.935
2011-01-01,213.475,236.438,104.153,212.463,121.790,127.784,425.213
2011-07-01,218.153,239.740,108.218,214.385,124.101,126.785,437.239
2012-01-01,219.311,241.286,110.322,217.269,124.318,124.396,444.450
2012-07-01,221.965,242.768,114.237,220.683,123.526,126.923,459.610
2013-01-01,223.182,242.896,111.176,221.777,123.733,129.747,463.116
2013-07-01,223.737,244.802,114.091,219.111,124.638,132.229,462.609
2014-01-01,225.727,246.717,113.482,222.589,125.274,132.008,470.205
2014-07-01,230.321,248.653,110.928,216.287,124.209,132.902,487.943
2015-01-01,231.465,249.902,107.725,204.445,124.481,132.838,477.332
2015-07-01,233.043,250.015,107.125,201.170,123.869,134.182,508.391
2016-01-01,231.689,250.214,109.206,199.188,123.294,133.527,509.967
2016-07-01,231.720,252.557,112.675,200.858,122.125,133.861,524.971
2017-01-01,232.243,254.694,112.598,206.804,123.410,130.773,530.249
2017-07-01,233.184,256.223,110.888,208.798,122.299,129.736,533.337
2018-01-01,232.955,257.979,111.859,213.607,119.471,130.201,541.174
2018-07-01,234.506,261.046,108.987,213.855,119.277,130.605,537.852
2019-01-01,236.594,265.231,105.391,211.705,121.885,131.633,549.754
2019-07-01,239.070,268.879,107.901,213.394,124.325,132.634,555.941
2020-01-01,244.783,269.930,105.363,203.360,125.801,133.124,554.131
2020-07-01,247.576,271.541,104.542,204.711,125.712,133.567,565.729
2021-01-01,248.156,274.552,108.558,218.731,126.042,133.759,584.459
2021-07-01,254.790,282.586,108.291,242.092,128.017,135.745,596.795
2022-01-01,269.205,294.890,109.296,262.806,131.356,134.932,618.179
2022-07-01,284.782,306.944,110.221,265.689,132.294,135.558,624.254
2023-01-01,292.837,317.061,110.630,262.095,133.922,135.906,680.699
2023-07-01,294.491,324.817,110.592,269.602,134.307,137.929,687.383
