DATE,CUUSA104SAF,CUUSA104SAH,CUUSA104SAA,CUUSA104SAT,CUUSA104SAR,CUUSA104SAE,CUUSA104SAG
1984-01-01,100.900,105.800,101.100,102.800,.,.,106.800
1984-07-01,101.000,106.400,101.200,104.400,.,.,109.700
1985-01-01,102.400,108.100,101.800,104.800,.,.,111.400
1985-07-01,102.200,109.000,103.900,106.100,.,.,114.600
1986-01-01,103.800,110.800,98.200,101.700,.,.,116.700
1986-07-01,106.200,111.800,102.500,97.300,.,.,119.300
1987-01-01,109.200,112.800,104.100,99.300,.,.,121.500
1987-07-01,109.700,114.100,109.900,101.700,.,.,123.800
1988-01-01,111.100,115.500,111.000,101.000,.,.,130.500
1988-07-01,112.700,115.900,117.400,103.600,.,.,134.900
1989-01-01,117.000,118.000,118.400,107.300,.,.,139.000
1989-07-01,119.100,120.400,123.900,107.200,.,.,142.500
1990-01-01,123.400,122.700,123.700,108.800,.,.,148.100
1990-07-01,125.200,126.800,126.300,115.500,.,.,152.600
1991-01-01,128.800,129.800,127.500,112.400,.,.,152.300
1991-07-01,129.600,132.900,131.600,113.300,.,.,157.800
1992-01-01,132.400,134.900,130.400,114.300,.,.,166.000
1992-07-01,133.400,136.800,135.700,117.000,.,.,170.300
1993-01-01,136.500,138.300,135.700,117.300,.,.,176.900
1993-07-01,137.900,139.900,133.300,118.800,.,.,177.400
1994-01-01,139.500,143.900,135.200,120.200,.,.,179.300
1994-07-01,141.600,146.600,131.200,124.300,.,.,186.400
1995-01-01,142.400,149.300,135.200,127.200,.,.,189.800
1995-07-01,144.800,150.800,135.400,128.100,.,.,194.700
1996-01-01,148.100,152.500,132.900,128.300,.,.,198.800
1996-07-01,149.700,153.800,136.200,130.100,.,.,207.100
1997-01-01,151.600,155.700,139.300,132.700,.,.,212.700
1997-07-01,151.900,156.700,142.600,132.600,.,.,216.000
1998-01-01,152.400,158.700,141.700,130.800,100.000,98.100,220.700
1998-07-01,154.700,161.400,143.300,129.700,101.600,101.300,228.400
1999-01-01,155.500,161.900,143.400,129.600,103.400,101.300,240.900
1999-07-01,156.600,162.500,145.600,134.200,104.300,103.400,247.900
2000-01-01,158.100,164.100,159.900,138.700,106.700,103.400,256.600
2000-07-01,160.400,167.000,155.600,140.500,105.700,107.600,259.400
2001-01-01,163.100,172.200,158.900,143.000,105.500,108.600,264.100
2001-07-01,167.000,172.300,154.300,139.300,102.900,111.300,268.300
2002-01-01,168.600,172.400,151.700,136.900,104.600,113.000,277.100
2002-07-01,168.900,174.800,151.700,137.900,104.000,117.100,289.300
2003-01-01,171.700,177.800,144.900,140.100,105.500,115.100,289.600
2003-07-01,174.600,177.900,145.100,140.300,106.300,116.000,290.600
2004-01-01,179.200,181.900,137.800,143.100,107.200,116.300,303.900
2004-07-01,182.900,186.400,143.100,144.400,106.000,118.100,308.000
2005-01-01,183.500,189.600,142.500,149.900,107.700,118.800,313.500
2005-07-01,186.400,194.800,134.600,155.400,108.600,120.100,318.700
2006-01-01,187.600,199.700,131.300,157.700,109.800,120.400,322.000
2006-07-01,191.200,202.000,137.100,155.800,109.300,121.900,324.100
2007-01-01,197.503,204.970,142.229,157.604,106.293,123.104,332.669
2007-07-01,201.473,207.427,140.136,164.257,106.448,126.441,336.603
2008-01-01,206.680,211.083,139.804,175.649,111.235,129.043,342.311
2008-07-01,214.231,215.109,148.894,170.707,114.181,134.083,346.606
2009-01-01,217.638,212.925,148.338,155.372,116.543,135.103,361.697
2009-07-01,218.137,213.860,149.490,164.739,116.520,137.994,372.323
2010-01-01,220.437,213.438,147.317,167.709,112.782,137.715,377.989
2010-07-01,223.649,213.267,150.399,171.559,111.304,141.222,381.923
2011-01-01,229.365,217.093,154.110,186.540,113.494,140.412,388.186
2011-07-01,237.980,220.323,165.685,190.347,114.133,142.823,392.745
2012-01-01,239.869,226.563,171.089,192.480,117.619,143.938,404.211
2012-07-01,242.311,227.516,161.693,192.914,119.554,145.290,402.227
2013-01-01,245.537,230.757,154.324,194.236,122.800,145.332,401.714
2013-07-01,244.527,230.195,155.864,192.410,123.874,145.200,403.789
2014-01-01,247.931,234.892,152.905,198.608,119.347,145.770,403.483
2014-07-01,251.685,239.211,154.048,192.908,115.930,146.310,410.828
2015-01-01,253.727,241.078,150.354,183.089,117.018,147.150,418.442
2015-07-01,255.464,243.792,159.920,182.238,120.344,147.618,441.639
2016-01-01,255.160,244.927,172.414,178.814,121.731,148.032,446.185
2016-07-01,255.191,248.010,177.586,181.111,123.636,149.734,466.271
2017-01-01,254.302,252.293,171.673,184.879,121.697,148.935,473.931
2017-07-01,257.853,252.718,174.873,183.661,121.719,148.764,486.297
