DATE,CUUSA422SAF,CUUSA422SAH,CUUSA422SAA,CUUSA422SAT,CUUSA422SAR,CUUSA422SAE,CUUSA422SAG
1984-01-01,102.900,102.100,102.100,102.600,.,.,106.000
1984-07-01,104.400,107.000,107.000,104.900,.,.,110.300
1985-01-01,105.700,109.200,106.000,105.600,.,.,115.100
1985-07-01,106.000,113.300,101.100,105.400,.,.,117.500
1986-01-01,108.400,115.900,100.600,102.800,.,.,122.200
1986-07-01,110.600,119.100,102.700,99.500,.,.,124.100
1987-01-01,113.000,120.000,103.500,101.200,.,.,128.600
1987-07-01,114.400,123.000,105.600,103.600,.,.,133.100
1988-01-01,118.300,125.000,105.000,104.100,.,.,137.900
1988-07-01,122.600,128.800,99.700,106.400,.,.,142.300
1989-01-01,127.100,131.100,103.700,109.400,.,.,149.200
1989-07-01,129.400,133.600,104.700,109.800,.,.,155.100
1990-01-01,133.200,135.800,105.500,111.700,.,.,159.300
1990-07-01,136.100,138.700,109.500,117.700,.,.,162.800
1991-01-01,139.900,141.200,111.600,116.500,.,.,169.800
1991-07-01,140.700,144.200,114.600,117.700,.,.,179.200
1992-01-01,142.800,145.500,118.800,117.700,.,.,191.600
1992-07-01,143.900,147.000,116.700,122.000,.,.,200.200
1993-01-01,146.500,148.600,119.500,123.800,.,.,206.600
1993-07-01,146.000,149.800,116.900,123.600,.,.,207.400
1994-01-01,148.400,150.800,115.500,124.700,.,.,211.100
1994-07-01,149.400,152.300,115.500,126.700,.,.,215.400
1995-01-01,152.100,153.700,115.200,128.100,.,.,218.300
1995-07-01,151.100,155.300,112.700,130.000,.,.,222.800
1996-01-01,154.000,155.400,118.900,133.400,.,.,225.500
1996-07-01,156.600,159.400,115.000,133.600,.,.,230.100
1997-01-01,159.100,163.100,115.600,133.900,.,.,235.200
1997-07-01,161.200,168.100,116.600,133.300,.,.,244.700
1998-01-01,165.400,171.800,115.000,132.500,98.800,100.000,249.700
1998-07-01,167.300,177.100,116.700,131.500,97.700,102.700,254.800
1999-01-01,170.200,182.700,113.300,134.600,97.500,102.900,275.500
1999-07-01,171.300,188.400,115.100,137.000,95.700,105.400,279.800
2000-01-01,173.600,193.500,115.100,141.000,94.800,105.800,287.600
2000-07-01,176.700,200.500,115.600,145.200,95.700,107.000,291.200
2001-01-01,180.400,213.300,114.400,145.800,93.600,106.200,298.000
2001-07-01,183.200,219.700,108.000,141.500,93.200,109.300,305.000
2002-01-01,184.800,220.900,110.300,139.900,94.100,108.800,309.400
2002-07-01,187.600,222.000,107.700,142.100,93.300,111.400,311.800
2003-01-01,188.700,223.600,115.300,147.200,94.200,112.600,320.500
2003-07-01,192.700,223.700,104.200,142.700,95.500,114.000,323.300
2004-01-01,198.700,221.200,110.900,147.800,97.200,114.500,327.200
2004-07-01,200.600,221.900,105.700,151.400,98.000,115.700,328.400
2005-01-01,202.500,222.900,108.500,154.200,98.900,117.200,334.400
2005-07-01,203.700,224.800,106.200,158.100,100.300,121.700,337.900
2006-01-01,205.400,229.000,105.500,161.300,101.800,123.000,343.300
2006-07-01,208.300,232.000,112.600,161.700,102.300,124.200,346.000
2007-01-01,213.000,236.954,108.060,165.943,103.349,125.259,351.119
2007-07-01,217.657,239.226,106.280,167.345,104.108,128.448,355.591
2008-01-01,222.720,240.469,105.449,178.178,105.547,131.334,364.245
2008-07-01,226.927,244.653,105.186,174.456,105.712,135.077,372.450
2009-01-01,228.280,246.353,112.370,161.261,106.410,137.182,383.873
2009-07-01,227.753,245.984,105.910,172.065,107.075,139.993,388.473
2010-01-01,226.883,244.648,110.408,176.452,110.629,142.162,391.312
2010-07-01,228.178,245.718,108.023,179.709,108.988,142.537,388.689
2011-01-01,232.453,247.002,112.991,190.514,109.761,143.008,389.627
2011-07-01,235.046,250.956,115.259,191.043,110.916,143.394,393.238
2012-01-01,238.300,254.643,118.295,196.376,111.789,143.522,395.616
2012-07-01,240.707,259.642,118.954,198.158,111.828,143.384,402.349
2013-01-01,244.727,263.948,120.873,198.464,109.755,143.406,406.417
2013-07-01,246.670,268.888,117.463,196.528,109.532,143.472,413.942
2014-01-01,250.301,273.607,116.880,201.408,110.188,143.016,428.391
2014-07-01,255.526,281.407,116.448,195.047,110.614,141.741,428.611
2015-01-01,258.036,288.879,115.495,190.010,111.880,142.904,430.237
2015-07-01,264.127,296.682,114.748,186.028,113.807,143.607,431.232
2016-01-01,266.344,304.445,114.752,183.168,114.370,143.586,432.211
2016-07-01,266.351,314.177,117.741,184.692,113.747,142.665,436.329
2017-01-01,268.435,321.756,116.755,190.423,112.977,140.520,452.724
2017-07-01,268.679,327.004,116.182,192.345,114.313,141.783,464.634
2018-01-01,274.531,333.944,112.024,202.434,115.656,143.107,476.748
2018-07-01,280.956,339.969,113.415,205.086,116.610,149.627,495.071
2019-01-01,288.128,344.829,115.586,206.956,117.739,151.712,499.237
2019-07-01,291.412,350.124,113.922,210.139,118.062,150.683,503.396
2020-01-01,298.518,356.930,107.813,200.419,119.410,151.100,509.127
2020-07-01,306.341,359.733,98.367,199.744,121.742,150.722,514.844
2021-01-01,309.918,363.449,105.553,213.305,126.415,151.716,528.140
2021-07-01,320.998,364.794,108.863,227.989,134.949,154.668,528.724
2022-01-01,336.733,371.815,111.099,252.465,136.055,155.504,549.168
2022-07-01,351.823,378.829,111.464,257.561,138.412,156.422,566.099
2023-01-01,359.202,391.026,114.449,250.982,144.313,160.465,588.881
2023-07-01,363.177,393.367,115.985,252.874,145.449,160.670,625.442
