DATE,CUUSA423SAF,CUUSA423SAH,CUUSA423SAA,CUUSA423SAT,CUUSA423SAR,CUUSA423SAE,CUUSA423SAG
1984-01-01,101.200,101.800,98.600,101.900,.,.,106.300
1984-07-01,102.000,103.900,99.800,104.400,.,.,108.200
1985-01-01,102.900,105.300,101.000,104.900,.,.,110.400
1985-07-01,103.600,105.700,104.000,105.100,.,.,113.400
1986-01-01,106.100,106.800,102.800,103.000,.,.,115.700
1986-07-01,107.500,106.800,106.700,100.400,.,.,118.500
1987-01-01,111.700,107.200,107.000,100.900,.,.,121.000
1987-07-01,112.200,109.100,111.900,103.800,.,.,124.000
1988-01-01,114.000,111.000,115.700,102.500,.,.,126.500
1988-07-01,115.800,112.900,115.600,104.600,.,.,128.200
1989-01-01,121.700,114.600,110.400,107.500,.,.,132.900
1989-07-01,124.400,118.100,104.400,110.800,.,.,137.900
1990-01-01,131.800,122.000,110.400,113.400,.,.,144.200
1990-07-01,134.200,128.900,113.600,118.900,.,.,149.500
1991-01-01,141.100,132.300,112.300,119.300,.,.,154.100
1991-07-01,140.200,135.800,114.400,120.600,.,.,158.900
1992-01-01,141.100,138.300,118.500,121.800,.,.,166.000
1992-07-01,141.100,140.200,118.900,126.000,.,.,172.100
1993-01-01,142.800,142.000,115.500,126.600,.,.,178.600
1993-07-01,142.100,144.900,115.500,130.100,.,.,180.400
1994-01-01,145.300,147.000,122.500,133.000,.,.,181.400
1994-07-01,148.500,148.900,119.300,137.000,.,.,188.400
1995-01-01,151.900,150.500,120.300,138.200,.,.,193.300
1995-07-01,152.100,152.500,122.200,140.800,.,.,202.600
1996-01-01,153.500,154.600,125.200,142.500,.,.,208.500
1996-07-01,157.500,159.200,126.300,145.500,.,.,212.900
1997-01-01,159.000,163.100,126.500,145.400,.,.,219.600
1997-07-01,161.500,165.600,125.200,145.800,.,.,226.600
1998-01-01,163.900,169.300,125.400,145.000,99.400,102.800,235.200
1998-07-01,166.600,172.600,127.700,145.900,98.800,103.100,241.800
1999-01-01,168.900,175.700,126.500,148.000,99.900,103.500,255.900
1999-07-01,170.300,178.900,124.500,151.800,100.300,104.800,257.500
2000-01-01,172.300,182.600,127.900,156.400,100.900,104.100,265.200
2000-07-01,175.200,187.000,125.300,162.700,101.400,104.900,269.800
2001-01-01,180.400,193.000,124.000,162.400,100.500,105.900,274.500
2001-07-01,182.000,198.300,124.400,161.700,100.000,106.700,276.600
2002-01-01,184.200,199.600,126.900,159.800,99.300,107.300,291.600
2002-07-01,185.900,200.500,129.500,162.800,100.700,109.100,297.200
2003-01-01,188.600,199.800,124.800,166.800,102.100,108.700,305.000
2003-07-01,192.100,200.900,122.700,168.000,101.000,112.100,305.300
2004-01-01,194.600,199.900,125.300,172.900,95.700,113.900,308.100
2004-07-01,195.900,201.200,127.300,175.700,92.200,115.600,311.800
2005-01-01,199.400,204.000,124.900,184.500,92.300,117.700,314.100
2005-07-01,202.000,206.300,121.300,188.900,91.100,117.100,322.500
2006-01-01,204.700,212.700,124.100,193.300,92.200,118.500,326.600
2006-07-01,208.400,217.500,129.800,195.400,92.800,118.300,337.500
2007-01-01,212.749,223.386,134.636,196.400,94.502,117.671,349.701
2007-07-01,217.505,227.579,134.675,199.275,94.971,119.491,351.191
2008-01-01,223.556,233.247,135.829,210.842,96.772,121.398,353.442
2008-07-01,230.111,238.181,129.635,206.118,97.894,124.333,359.082
2009-01-01,231.498,241.473,133.801,193.456,97.954,125.680,363.221
2009-07-01,227.279,238.950,130.890,205.615,97.633,127.402,367.477
2010-01-01,228.356,234.728,133.931,210.898,94.389,127.954,378.992
2010-07-01,229.289,234.539,133.491,215.608,94.964,128.743,387.915
2011-01-01,234.774,235.623,127.189,229.450,95.343,130.582,383.057
2011-07-01,239.489,239.666,132.327,231.938,96.530,132.214,388.527
2012-01-01,240.134,242.778,134.444,235.496,96.784,133.699,386.296
2012-07-01,243.430,245.676,137.896,235.428,98.807,134.390,388.724
2013-01-01,245.466,248.562,134.927,232.923,98.090,135.480,393.255
2013-07-01,246.676,253.974,131.369,228.384,96.222,137.127,401.221
2014-01-01,250.861,259.112,131.605,230.168,95.054,138.088,395.101
2014-07-01,254.092,264.307,128.953,225.561,96.158,138.490,397.240
2015-01-01,256.171,270.418,127.757,212.051,96.526,138.382,396.000
2015-07-01,259.583,276.559,130.828,214.012,96.487,139.969,394.261
2016-01-01,259.662,283.075,130.724,207.356,97.213,140.159,392.865
2016-07-01,260.227,289.975,129.805,211.807,96.972,136.662,401.452
2017-01-01,263.756,298.695,127.956,216.660,95.008,133.637,406.541
2017-07-01,266.358,306.463,133.671,218.041,95.332,133.920,409.083
2018-01-01,268.215,313.786,130.223,226.238,97.353,133.466,406.204
2018-07-01,272.386,319.854,124.940,228.353,96.216,136.248,410.725
2019-01-01,275.289,325.825,129.243,224.320,99.035,138.596,415.348
2019-07-01,277.512,332.921,127.641,224.420,98.178,142.163,416.945
2020-01-01,284.069,338.577,122.237,217.190,97.552,141.343,422.320
2020-07-01,290.159,342.574,125.852,213.898,98.903,144.736,417.121
2021-01-01,296.802,344.676,125.879,232.168,100.255,146.744,426.414
2021-07-01,311.398,352.840,131.438,252.846,110.902,147.296,437.517
2022-01-01,327.684,369.731,131.710,278.927,109.649,146.906,456.178
2022-07-01,344.801,385.894,128.621,297.467,113.730,149.603,475.905
2023-01-01,354.775,401.846,131.503,291.739,120.160,148.153,498.387
2023-07-01,356.773,411.967,133.370,299.572,122.005,148.266,517.946
