DATE,CUUSA209SAF,CUUSA209SAH,CUUSA209SAA,CUUSA209SAT,CUUSA209SAR,CUUSA209SAE,CUUSA209SAG
1984-01-01,102.100,101.900,100.300,101.800,.,.,106.300
1984-07-01,104.200,103.800,103.000,104.000,.,.,110.600
1985-01-01,105.400,106.000,105.000,104.700,.,.,113.300
1985-07-01,106.100,109.600,103.900,105.900,.,.,117.500
1986-01-01,107.900,109.100,101.700,101.600,.,.,120.300
1986-07-01,111.600,111.600,103.600,99.000,.,.,123.900
1987-01-01,113.800,110.700,105.200,102.500,.,.,126.500
1987-07-01,114.100,113.500,110.000,105.400,.,.,129.800
1988-01-01,115.000,113.300,111.500,105.100,.,.,134.700
1988-07-01,120.400,116.500,113.600,106.800,.,.,139.000
1989-01-01,124.000,118.200,117.900,109.700,.,.,143.200
1989-07-01,127.600,122.400,118.900,111.200,.,.,147.600
1990-01-01,133.600,123.700,122.000,114.800,.,.,151.100
1990-07-01,136.200,126.100,119.800,120.000,.,.,156.100
1991-01-01,139.400,126.700,121.700,118.200,.,.,159.800
1991-07-01,139.900,128.600,123.400,118.900,.,.,167.100
1992-01-01,140.000,127.600,120.900,120.500,.,.,170.400
1992-07-01,140.100,131.800,122.400,123.400,.,.,174.300
1993-01-01,139.200,131.500,123.400,124.300,.,.,178.000
1993-07-01,141.000,134.400,122.300,125.900,.,.,173.900
1994-01-01,143.700,135.300,122.600,126.300,.,.,172.300
1994-07-01,144.400,138.100,127.700,132.000,.,.,175.700
1995-01-01,146.400,138.100,119.500,135.300,.,.,179.100
1995-07-01,147.500,140.900,119.000,136.700,.,.,181.800
1996-01-01,150.200,141.000,121.000,141.100,.,.,183.800
1996-07-01,152.300,144.200,123.500,142.500,.,.,188.800
1997-01-01,154.100,144.600,123.900,144.300,.,.,189.000
1997-07-01,155.800,146.300,123.700,143.200,.,.,197.400
1998-01-01,158.400,145.800,126.000,139.500,101.300,101.200,204.600
1998-07-01,158.400,148.100,126.400,137.300,102.700,103.600,210.800
1999-01-01,161.000,148.500,121.700,139.600,103.400,103.300,217.600
1999-07-01,162.900,149.400,125.300,143.700,105.300,104.600,221.700
2000-01-01,166.500,152.900,121.100,150.500,103.100,103.600,227.300
2000-07-01,167.100,157.000,120.700,150.800,103.300,103.800,229.600
2001-01-01,168.500,161.800,123.100,153.600,104.800,104.200,234.800
2001-07-01,170.200,160.700,117.600,149.300,107.000,106.300,246.100
2002-01-01,171.700,160.200,119.800,148.700,108.500,107.800,249.000
2002-07-01,172.300,163.400,121.200,151.300,108.200,112.200,250.600
2003-01-01,172.200,166.000,119.100,153.700,113.000,113.300,251.800
2003-07-01,174.500,168.800,124.600,152.900,113.700,116.200,250.800
2004-01-01,179.200,174.100,128.500,156.700,114.200,116.500,251.400
2004-07-01,180.200,177.400,127.000,160.000,114.400,118.200,251.900
2005-01-01,183.600,181.300,129.800,164.300,115.100,117.700,250.600
2005-07-01,185.900,182.700,121.800,172.800,115.500,117.900,250.500
2006-01-01,187.600,183.200,119.000,174.800,117.000,119.400,251.600
2006-07-01,191.600,183.900,116.300,175.800,117.100,121.900,256.500
2007-01-01,194.464,184.323,123.821,176.631,119.257,122.171,260.852
2007-07-01,197.064,185.961,125.583,180.346,119.138,125.765,260.630
2008-01-01,201.675,187.115,125.935,189.492,122.946,128.582,271.104
2008-07-01,207.203,190.462,127.421,179.781,123.018,130.924,271.522
2009-01-01,210.452,189.596,131.624,166.161,119.765,132.446,286.939
2009-07-01,209.906,190.380,131.643,176.732,110.741,135.539,292.225
2010-01-01,212.536,189.726,141.089,181.548,113.392,136.395,294.260
2010-07-01,215.528,192.502,138.356,185.383,117.195,136.409,297.921
2011-01-01,217.627,193.431,146.122,200.219,114.844,137.648,301.051
2011-07-01,223.076,196.781,145.500,198.548,115.271,139.803,302.680
2012-01-01,228.571,197.935,155.952,203.881,116.462,139.986,302.801
2012-07-01,229.958,201.789,156.711,202.326,117.855,139.471,305.960
2013-01-01,234.273,202.408,161.184,206.541,117.611,138.477,309.246
2013-07-01,237.242,204.757,150.927,203.499,117.155,142.539,308.908
2014-01-01,243.849,205.896,154.377,205.429,117.052,139.373,310.630
2014-07-01,245.947,208.167,152.919,196.580,115.898,139.194,309.398
2015-01-01,246.906,208.155,152.607,186.351,117.536,139.860,308.338
2015-07-01,248.553,212.305,151.959,184.691,117.248,139.737,304.807
2016-01-01,246.670,211.700,152.559,181.623,118.193,139.237,307.519
2016-07-01,247.099,216.203,154.237,181.137,119.109,137.008,307.199
2017-01-01,250.122,216.917,159.034,184.218,119.122,129.616,311.550
2017-07-01,252.180,219.925,158.311,185.550,118.748,130.793,319.902
2018-01-01,253.191,220.574,158.520,192.747,118.638,132.863,321.182
2018-07-01,254.283,223.915,156.127,191.260,114.376,134.869,321.967
2019-01-01,256.681,224.799,148.938,189.275,116.137,134.551,336.984
2019-07-01,258.701,226.907,136.106,192.775,116.493,139.005,335.054
2020-01-01,264.809,227.016,130.808,182.501,120.112,141.924,335.641
2020-07-01,265.321,232.350,126.507,184.836,119.366,143.645,324.921
2021-01-01,268.385,234.254,131.557,202.350,122.685,146.519,333.915
2021-07-01,281.769,244.963,131.156,221.965,120.235,149.092,332.682
2022-01-01,299.834,249.642,131.749,240.356,126.623,150.844,347.531
2022-07-01,319.017,258.546,138.962,238.676,129.405,152.983,362.911
2023-01-01,325.866,264.064,141.109,239.021,134.109,153.744,377.892
2023-07-01,326.271,271.920,146.603,245.441,133.950,150.890,385.162
